,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
120,0.8126,0.0,0.641,0.359,03-07-2018 12:00:02,"A new GOP effort to dismantle Obama-era financial regulations is gaining traction --
thanks to support from Democra… https://t.co/8D8nbdMAuB",20,@CBSNews
121,0.0,0.0,1.0,0.0,03-07-2018 07:18:10,"Prosecutor: Mom returned to work after 8-year-old son shot sister, 4 https://t.co/QHqxZP3eMD https://t.co/QGdJQ5Aodv",21,@CBSNews
122,0.0,0.0,1.0,0.0,03-07-2018 03:03:30,"RT @CBSEveningNews: NOW: @CBSEveningNews with @JeffGlor airs in its entirety on CBSN, @CBSNews' 24/7 streaming news service https://t.co/Me…",22,@CBSNews
123,-0.25,0.125,0.875,0.0,03-06-2018 23:37:40,"The president's chief economic adviser, Gary Cohn, resigned. @nancycordes has more on the @CBSEveningNews.… https://t.co/CtnznV4iy0",23,@CBSNews
124,0.0,0.0,1.0,0.0,03-06-2018 19:26:35,MOMENTS AGO: President Trump speaks on possible talks with North Korea https://t.co/71XSXGktQj https://t.co/f4weComftB,24,@CBSNews
125,0.0,0.0,1.0,0.0,03-06-2018 15:22:57,"""We think the proper approach is a more surgical approach, so we do not have unintended consequences,"" House Speake… https://t.co/hYue9ryP4T",25,@CBSNews
126,0.3724,0.0,0.892,0.108,03-06-2018 13:26:06,"“The question that we should be asking is not 'What’s wrong with that child,' it’s 'What happened to that child?' A… https://t.co/OYHEN5rEHY",26,@CBSNews
127,-0.296,0.104,0.896,0.0,03-06-2018 12:15:19,West Virginia teachers will surround the state capitol again this morning to put pressure on lawmakers to raise the… https://t.co/qcsbJqwwFa,27,@CBSNews
128,0.5423,0.0,0.64,0.36,03-06-2018 09:33:05,"Special counsel subpoenas documents regarding Trump, top advisers https://t.co/YzlsOvHNEy https://t.co/VcL7y9S32O",28,@CBSNews
129,-0.5574,0.159,0.841,0.0,03-06-2018 04:55:01,Authorities in northern Illinois say a college professor and his two sons are those who died in an apparent murder-… https://t.co/80z7YrS7My,29,@CBSNews
130,-0.4939,0.158,0.842,0.0,03-05-2018 23:41:14,A passenger tried to open the door of a plane in flight today. @krisvancleave reports on the mid-air scare. https://t.co/Oxwhx2PuIw,30,@CBSNews
131,0.4215,0.052,0.81,0.138,03-05-2018 19:37:43,"""We believe Gov. Scott's proposals demonstrate good movement toward the goal of preventing future acts of school vi… https://t.co/R5BA0IYb2N",31,@CBSNews
132,-0.0516,0.091,0.909,0.0,03-05-2018 16:01:01,Harvard professor placed on leave following series of sexual misconduct allegations https://t.co/qYkKP9ajkL https://t.co/ElMl33uftS,32,@CBSNews
133,0.4019,0.0,0.87,0.13,03-05-2018 13:10:52,Special Counsel Robert Mueller reported has what @axios calls a “hit list” of people who communicated with one witn… https://t.co/9kBN5zMMLj,33,@CBSNews
134,0.0,0.0,1.0,0.0,03-05-2018 11:35:01,"Ahead on @cbsthismorning, @etnow's @KevinFrazier discusses last night's 90th Academy Awards--winners, highlights, a… https://t.co/EpfmIKZcrs",34,@CBSNews
135,0.4019,0.0,0.748,0.252,03-05-2018 07:10:04,Oscars 2018: Stars voice support for immigrants https://t.co/YYOHfPWPDH https://t.co/muIygygiJE,35,@CBSNews
